ΠΡΟΤΕΡΑΙΟΤΗΤΑ;ΣΥΝΕΡΓΕΙΟ;ΕΝΩΘΗΚΑΝ ΑΠΟ;ΓΡΑΜΜΕΣ;ΚΟΣΤΟΣ EUR;ΦΟΡΤΗΓΑ;ΡΥΜΟΥΛΚΟΥΜΕΝΑ;ΠΕΡΙΟΔΟΣ;ΕΙΔΙΚΟΤΗΤΑ;ΑΦΜ;ΕΠΩΝΥΜΙΑ;ΤΗΛΕΦΩΝΟ;ΕΔΡΑ;ΧΩΡΑ (GR/BG);ΕΠΙΒΕΒΑΙΩΣΕ
ΝΑΙ;ΤΣΕΡΚΕΖΟΣ;ΤΣΕΡΚΕΖΟΣ (144) | TSERKEZOS (1);145;132747.22;68;77;2024-01 - 2026-12;Ελαστικά;;;;;;
ΝΑΙ;ΣΟΥΛΗΣ (ΓΕΩΡΓΙΑΔΗΣ ΓΙΩΡΓΟΣ);ΣΟΥΛΗΣ (234) | SOULIS (42) | ΓΕΩΡΓΙΑΔΗΣ(ΣΟΥΛΗΣ ) (4) | ΓΕΩΡΓΙΑΔΗΣ (ΣΟΥΛΗΣ) (2);282;99506.65;8;274;2024-01 - 2026-07;Ψύξη, Σέρβις;;;;;;
ΝΑΙ;ΓΑΒΡΙΗΛΙΔΗΣ;ΓΑΒΡΙΗΛΙΔΗΣ (144) | ΓΑΒΡΙΗΛΙΔΗΣ (ΜΠΟΝΤΟΣΗΣ) (1);145;84413.59;145;0;2024-01 - 2026-07;Σέρβις, Κινητήρας;;;;;;
ΝΑΙ;ΣΑΡΑΚΑΚΗΣ;ΣΑΡΑΚΑΚΗΣ (114) | ΣΑΡΑΚΑΚΗ (40);154;74214.78;154;0;2024-01 - 2026-07;Σέρβις, Κινητήρας;;;;;;
ΝΑΙ;ΠΕΝΟΓΛΟΥ;;236;63537.1;99;137;2024-04 - 2026-07;Φρένα/ανάρτηση, Κινητήρας;;;;;;
ΝΑΙ;ΜΑΡΜΑΡΑΣ;ΜΑΡΜΑΡΑΣ (216) | ΜΑΡΜΑΡΑ (3);219;53434.06;188;31;2024-01 - 2026-07;Ηλεκτρικά, Ψύξη;;;;;;
ΝΑΙ;ΠΑΠΑΘΕΟΧΑΡΗΣ;ΠΑΠΑΘΕΟΧΑΡΗΣ (41) | ΠΑΠΑΘΕΟΧΑΡΗΣ ΚΩΝ (14) | ΠΑΠΑΘΕΩΧΑΡΗΣ (2);57;41931.23;57;0;2024-02 - 2026-05;Σέρβις, Ηλεκτρικά;;;;;;
ΝΑΙ;ΕΥΡΩΦΡΕΝΟΤΕΧΝΙΚΗ (ΠΑΠΑΓΙΑΝΝΗΣ);ΕΥΡΩΦΡΕΝΟΤΕΧΝΙΚΗ (129) | ΠΑΠΑΓΙΑΝΝΗΣ (12) | ΕΥΡΩΦΡΕΝΟΤΕΧΝΙΚΗ ΠΑΠΑΓΙΑΝΝΗΣ (2) | ΕΥΡΩΦΡΕΝΟΤΕΧΝΙΚΗ ΕΡΓΑΣΙΑ (1);144;32292.5;73;71;2024-01 - 2026-07;Φρένα/ανάρτηση, Κινητήρας;;;;;;
ΝΑΙ;ΣΑΒΒΑΤΗΣ;;48;14931.75;48;0;2024-05 - 2026-07;Σέρβις;;;;;;
ΝΑΙ;ΣΕΪΤΑΡΙΔΗΣ;ΣΕΪΤΑΡΙΔΗΣ (6) | ΣΕΙΤΑΡΙΔΗΣ (4);10;9810.0;0;10;2024-01 - 2026-06;Αμάξωμα;;;;;;
ΝΑΙ;ΓΕΩΡΓΙΑΔΗΣ ΣΠΥΡΙΔΩΝ (ΔΡΟΣΟΣ);ΓΕΩΡΓΙΑΔΗΣ (21) | ΓΕΩΡΓΙΑΔΗΣ ΣΠΥΡΙΔΩΝ (9) | ΓΕΩΡΓΙΑΔΗΣ ΣΠΥΡ. (6) | ΓΕΩΡΓΙΑΔΗΣ ΣΠΥΡΟΣ (6) | ΓΕΩΡΓΙΑΔΗΣ (ΔΡΟΣΟΣ) (4) | ΓΕΩΡΓΙΑΔΗΣ ΣΠ (3) | ΔΡΟΣΟΣ (3);52;8292.0;20;32;2024-04 - 2026-07;Πέταλο/κοτσαδούρα, Φρένα/ανάρτηση;;;;;;
ΝΑΙ;ΠΑΠΑΝΤΩΝΙΟΥ;;6;5469.96;2;4;2024-01 - 2024-01;;;;;;;
